Title,Newspaper,Date,Section,Body,Policy Narrative,Unit of Analysis,Hero,Villain,Victim,Beneficiary,Ally,Opponent,Ineffective,Setting,Plot,Moral,Moral Description,Belief System,Narrative Strategy
"Locals want clean Ganga, smooth roads in 2011",The Times of India (TOI),01-01-2011,KANPUR,"KANPUR: After having bumpy rides on the dug-up roads of the city in 2010, the commuters are praying for smoother roads to ride on in the new year.
The ongoing work of laying of sewerlines under the JNNURM programme left the city folks gasping for breath as the digging of roads resulted in dust particles flowing all around in the air.
It is now expected that in next six months, the work will be complete and only then will come relief for the city people.
The long hours of power cuts forced people to depend on generators. The generators in turn not only created air pollution but also added sound pollution.
The pollution in the Ganga river also remained a hot issue throughout the year.
It was only after the Allahabad High Court issued special directives to the pollution board asking it to crack down on erring tanneries, that a few leather units were closed down and heavy penalties were imposed on some other units.
Locals hope that year 2011 would see the pollution level going down in the holy river.
It was in this direction only that professor Vinod Tare from IIT-Kanpur had demonstrated a 'zero toilet discharge system (ZTDS)' developed by him in his lab.
The ZTDS, as the name suggests, is a look alike of most of the conventional toilets with an only difference being that the water consumption in this system is based on ecological sanitation.
The ZTDS consists of a separator device below the toilet that divides solids and liquids but the rest of the outside appearance of the ZTDS is completely similar to that of a conventional toilet.
The solid waste passes through a different stream and liquid from a different stream. One part of the solid waste is mixed with two parts of cow dung and recycled for atleast 20 times before it is left to decay and form a quality compost. The liquid part is recycled and utilised as flush water. The water is collected, filtered, treated and then recycled to be used for flushing.
Microbial agents are used for eliminating odour. This recycling technique removes the need for fresh water in flushing. This system can be installed as public toilets and hence the waste released from these toilets into the Ganga can be avoided. In 2011, not only the city but the entire nation would like to see the holy Ganga flowing clean.
For Reprint Rights: timescontent.com

Load-Date: December 31, 2010",1,Document,0,Generators. JNNURM,"Commuters, City Folk",0,0,0,0,Kanpur,Story of Helplessness and Control,Implicit Policy Reference,Voice raised against pollution,Hierarchist,Mechanical
"Gadgil visits pollution hit Khandola, Betki areas",The Times of India (TOI),9/27/2011,GOA,"Keri: Madhav Gadgil, chairman of Western Ghats expert panel, on Monday evening visited Khandola and Betki villages of Ponda taluka on a request from the Betki-Khandola Pradushan Virodhi Kruti Samiti .
Locals from Khandola, Betki, Amona and other villages had requested Gadgil to visit their villages. It is alleged that the villages are affected by air and water pollution from Sesa Goa's pig iron plant at Amona.
At an interactive session, Gadgil applauded efforts of villagers to protect the area from pollution.
Madhu Gaonkar, secretary of the Samiti, alleged, ""Our agriculture dominated villages have become affected by air and water pollution. The yield of coconuts, paddy and other crops has decreased drastically. Villagers have given up agricultural and horticultural activities.""
Panch member and president of BKPVKS Dinesh Sada Gawde said, ""Presently this company is involved in the expansion of their plant in Amona and this will intensify pollution.""
Khemlo Sawant from Betalwada-Amona gave copies of a report of the zonal agricultural officer of Bicholim and of Goa state pollution control board of damage caused to agricultural crops and cashew plantations in the area.
For Reprint Rights: timescontent.com

Load-Date: January 9, 2012",1,Document,"Villagers, Betki-Khandola Pradushan Virodhi Kruti Samiti, Madhu Gaonkar, Dinesh Sada Gadwe, Khemlo Sawant",Sesa Goa's Plant,Locals of Villages,0,Madhav Gadgil,0,0,Ponda Taluka,Story of Decline,Implicit Policy Reference,Voice raised against pollution,Egalitarian,Mechanical
'Frequent hikes may blunt CNG green edge',The Times of India (TOI),10/19/2011,DELHI,"NEW DELHI: Frequent hikes in prices of CNG (compressed natural gas) has got the EPCA (Environment Protection Control Agency) to ask IGL (Indraprastha Gas Limited), the sole supplier of the fuel in the city, to desist from making any further price change.
<br/><br/>
Officials said regulating the price of CNG was essential to ensure that it did not lose out to diesel. At present, diesel vehicles account for more than 50% of all personal car sales in the city, posing an air pollution nightmare for the government.
<br/><br/>
""Often people prefer diesel over CNG as the former is a tried and tested technology and is known to show better engine performance. The only advantage that CNG enjoys is its price; but the rate at which it is being hiked, it will soon cost as much as diesel and lose even that advantage,"" said EPCA chairman
Bhurelal.
<br/><br/>
CNG became available in the city around 2001 and was priced around Rs 13 per kilo. At present, it costs Rs 32 per kilo, while diesel costs Rs 41.29 per litre. ""Internationally, CNG prices are about 25% less than that of diesel. In Delhi, this difference does not exist. IGL officials gave us several reasons for the recent hikes but we believe that inefficiency costs should not be passed onto consumers. IGL is also expanding its infrastructure and that will only get them more business in the city. There is no need for them to pass on their capital costs to consumers either,"" added Bhurelal.
<br/><br/>
<br/><br/>
IGL, which had last hiked CNG price by Rs 2 on October 1, justified it by saying that it's still operating under several constraints.
<br/><br/>
Rajesh Vedvyas, managing director, IGL, said that the hike was a result of a recent steep appreciation of dollar against the rupee and an increased power tariff.
<br/><br/>
<meta name=""cmsei"" content=""cms.next""/>
For Reprint Rights: timescontent.com

Load-Date: October 18, 2011",1,Document,"EPCA, Bhurelal",Diesel Vehicles,Government,0,0,"IGL, Rajesh Vedvyas",0,Delhi,Story of Decline,Explicit Policy Solution,Cap on CNG Price,Hierarchist,Accidental
"Noise levels up, air pollution dips",The Times of India (TOI),10/28/2011,BANGALORE,"BANGALORE: Thanks to 19.4 mm rain on Tuesday, the Karnataka State Pollution Control Board (KSPCB) recorded a 15%-28% dip in air pollution compared to normal days in Bangalore on the first day of Diwali on Tuesday.
The board said the rain helped in settling down the suspended air particles and in bringing down the air pollution level. Monitoring of air quality was done at two locations, City Railway Station and SG Halli Regional Office complex. The department had taken readings on October 22 (normal day) and tallied them with Tuesday's figures to arrive at the increase or decrease during Diwali.
While the ambient air quality remained pretty encouraging on Tuesday, noise pollution figures in the city were quite high. KSPCB included some areas in the city for the first time to monitor noise pollution levels. Kumara Park West recorded a 36% rise in the decibel level from any normal day. On a normal day, it records a decibel level somewhere around the 56 mark whereas on Tuesday the noise climbed up to a high 75 units.
At Fortis Hospital, Nagarabhavi, the noise pollution figures went up by 38% (from 59.3 to 75.8 decibels). Indiranagar ESI Hospital, Vijayanagar Club, AECS Layout in Whitefield and Cubbon Pet have recorded an increase of 24%, 16%, 32% and 3% respectively, while the remaining areas monitored have recorded decibel figures well within the permissible limit.
""We monitored the noise pollution levels at 12 different areas in Bangalore alone. Though we installed the noise level meter at 14 different places across the city, we based our readings on data collected from 12 of these meters,"" said A S Sadashivaiah, KSPCB chairman. The department also collected figures from an online monitoring of noise pollution levels at five different places in Bangalore.
Officials said the air pollution figures are likely to shoot up in the next two days of Diwali, on Wednesday and Thursday respectively. Final figures would be compiled on the basis of monitoring air pollution from 6 pm to 12 am on all three days.
For Reprint Rights: timescontent.com

Load-Date: January 9, 2012",1,Document,Rain,Diwali,0,0,Karnataka State Pollution Control Board,0,0,Bangalore,Stymied Progress,Implicit Policy Reference,Rain brings down air pollution,0,Mechanical
Winter's woes: Prepare for the clouds of dust,The Times of India (TOI),11-07-2011,KOLKATA,"KOLKATA: Every winter, Kolkata is blanketed in smog and haze and this year would be no exception. With the mercury dipping with a nip in the air from night till dawn, dust particles are increasing suspended particulate matter (SPM) in the atmosphere. Density of dust particles is higher at construction sites work is rampant, thus increasing the level of dust pollution.
According to air measurements taken by West Bengal Pollution Control Board (WBPCB), the level of fine particles (PM 10) in the air is hovering around 150 (g/m3) for the last few days against the residential standard of 100 (g/m3) per day. The city's PM 10 level for the three days from October 29 to October 31 was 146.58 (g/m3), 157.33(g/m3) and 153.25(g/m3) respectively.
Busy crossings like Shyambazar and Gariahat are particularly witnessing this high PM 10 level. From 6am on October 30 to 6am on October 31till the same time on Monday, Gariahat's PM 10 level stood at 161.33 (g/m3) and that of Shyambazar at 195.67(g/m3). The concentration of these fine particles is much higher at construction sites.
In the last three days from last Wednesday to Friday, the PM 10 level in the city was as high as 176.20(g/m3), 172.89 (g/m3) and 181.53 (g/m3) respectively, which is almost double the residential standard.
Karunamoyee Island in Salt Lake, where work on the east-west metro project is in full swing, is reeling under problems of dust pollution. A local staying near Karunamoyee said, ""Dust pollution has increased manifold at this spot since work on the east- west metro project began, leading to respiratory problems, particularly among the elderly residents.""
The situation is no different at other places in the city where construction work is in progress. A flyover project is underway at the stretch between Panama Island and Park Circus at the Park Circus connector, leading to an increase in the density of dust particles. With numerous construction projects going on at Rajarhat, Sector V and places off EM Bypass, dust pollution level at these places is on the rise as well.
areas like Karunamoyee Island in Salt Lake where work on the east-west metro project is in full swing, the Park Circus connector stretch from Parama Island to Park Circus where a flyover project is on, Rajarhat and places off EM Bypass and Sector V where rapid construction work is on also have high dust pollution. A local residing near Karunamoyee Island said, ""Dust pollution has increased manifold in this spot since work on the east west metro project began, leading to respiratory problems, particularly amongst the elderly residents living here,""
A WBPCB survey conducted some years ago found the SPM level in these areas adjoining the city almost five times higher than the permissible limit. Dust particles also increase in the city proper due to haphazard digging of roads to lay and re-lay water and sewer pipelines, telephone and electric cables.
Dust pollution
The pollution is common particularly in winter because humidity declines and the soil surface dries, resulting in increased SPM. Dust particles form a visible layer in the air, particularly in the evenings.
WBPCB chairman Binoy Kanti Dutta said that dust pollution exists round the year but it increases in winter.
The increase in fine dust particles in the air causes several respiratory diseases like dust allergy, dry cough, asthma and other chronic pulmonary ailments.
Construction engineers conceded that the maximum concentration of dust particles is at construction sites because mainly is at places where massive construction work is on as
dust particles do not spread much. ""There are a few advanced techniques to minimize dust pollution at construction sites, like spraying water and artificially increasing the humidity level in a very small area through a method called artificial conditioning of micro climate. As humidity level is raised, dust particles diminish. Also, the technique of increasing negative ion and putting up curtains around a construction site can also prevent dust pollution,"" said reputed structural engineer Anjan Kumar Dutta.
Construction companies, however, need to purchase these high-end equipment which are a little expensive. will only have to buy these sophisticated equipments which are a little costly.
For Reprint Rights: timescontent.com

Load-Date: January 9, 2012",1,Document,Anjan Kumar Dutta,"Construction, East-West Metro Project, Humidity","Locals, Elderly Residents",0,West Bengal Pollution Control Board,0,0,Kolkata,Story of Decline,Explicit Policy Solution,Use climate control to control pollution,Individualist,Diffusing Costs and Concentrating Benefits
Brick Kilns Flout rules with impunity,The Times of India (TOI),12/28/2011,JAIPUR,"Neemrana: Looking down from the Neemrana Fort, a blanket of smog and smoke envelops the Neemrana industrial area, the hub of Japanese investment in India. But for early hours in the morning, there is very little visibility and by sun down, the smoke layer just keeps getting thicker and thicker.
But there is nothing that is being done about regulating pollution from the brick kilns in the industrial area. Going by the sanctioned brick kilns within 10 km of the Neemrana industrial area by the Rajasthan State Pollution Control Board (RSPCB), only 35 to 40 have the consent to establish. But you can't breathe easy if you see the ground reality. On a clear day there are at least 100 brick kilns that you can see, all in a short distance of one another.
This according to the pollution control board guidelines, this is a violation of the mandatory consent under Air (prevention & control of pollution) Act 1981 (Air Act). ""Likewise even after being established, the brick kiln industry must be put to operation only after a valid consent to operate under the prescribed laws is granted. The state board has issued guidelines from time to time to facilitate the process of grant of consent and also suitably guide and advise the industry for taking appropriate measures for abatement of pollution. Any violation in this regard tantamount to a criminal offence,"" according to the RPCB.
Add to that several research studies rate pollution from brick kilns as close to silicosis and inhaling any of the pollutants can cause irritation of skin and eyes besides pulmonary diseases such as pneumoconiosis and silicosis. Besides other pollutants from the brick kiln, SPM in the flue glass, which is generated mainly due to incomplete combustion of fuel (black smoke), hydrocarbons, sulphur oxides are as harmful not just for labour working in the kilns but even those working in the RIICO industrial area nearby.
The Energy and Resources Institute (TERI) team's interaction with traditional firemen have also shown that incidences of skin, lung and eye diseases are very common among the community of workers at the brick kilns. And while the local impact of pollution caused by small isolated brick kilns is not likely to be significant it is the cluster in urban centers that is the cause of concern.
On another note, considering that pollution from brick kilns is one of the major sources of carbon dioxide emission, in the light of threat from global warming control of greenhouse gases (carbon dioxide and methane), this becomes an important issue in global diplomacy, more so when the Rajasthan government (RIICO) is showcasing Neemrana as an investment destination to the Japanese and other foreign companies.
For Reprint Rights: timescontent.com

Load-Date: December 27, 2011",1,Document,"Rajasthan State Pollution Control Board, Energy and Resources Institute (TERI)",Brick Kilns,"Brick Kiln Workers, Industrial Area Labourers",0,0,0,0,"RIICO Industrial Area, Rajasthan",Story of Decline,Implicit Policy Reference,Awareness spread on harm from brick kilns,Fatalist,Mechanical
"City could host demonstration centre for India, Canada JV",The Times of India (TOI),2/22/2012,NAGPUR,"NAGPUR: The city may host a 'demonstration centre' to showcase technologies developed under a scientific and industrial partnership between India and Canada.
The two countries will soon set up an India-Canada Centre at the University of British Columbia, Canada, with an investment of 15 million Canadian dollars. The 'India-Canada Centre for Innovative Multi-Disciplinary Partnership' or 'IC-Impacts' is part of a broad science and technology agreement signed between the two countries last year.
Though the research centre is coming up in Canada, the technologies developed under the joint venture will be implemented by the two countries in their own way. The technologies from the project will be showcased in India for use at a permanent demonstration centre.
Nem Kumar Banthia, project director of the centre and professor of civil engineering at University of British Columbia, told TOI that the two countries had identified five key areas of mutual interest for the collaborative programme. Banthia, who hails from Nagpur, was in the city to attend a two-day scientific conference organized by the Indian Concrete.
""Being from Nagpur I am trying my best to involve the city in the project as the 'demonstration city' where all the technologies evolving out of the research between scientists from both countries will be on permanent display for adoption by industry or any other users. If Nagpur is finalized as the 'demonstration city' it will be my contribution to my home city,"" said Banthia.
He has already received support from Visvesvaraya National Institute of Technology (VNIT) director SS Gokhale when he met him during the visit to the city.
The areas of research include improvement in drinking water quality, developing infrastructure, minimizing environment pollution from economic activities, developing alternative energy sources and research in medicine to contain infectious diseases caused by viral outbreaks and parasitic infections.
Banthia said that on the Indian front various reputed academic and R&D institutions like the Roorkee, Hyderabad, Delhi and Bombay IITs will be roped in to work with the University of British Columbia and other institutions at Toronto and Alberta. As of now the project has identified Reliance Industries and the Stewols Industry from Nagpur as industrial partners.
The proposal for IC-Impacts already submitted to the Canadian government is due for final review by representatives from the two governments on February 23.
R&D Areas Chosen
Water - Research on water quality assessment, waterborne pathogen detection, quality monitoring, water treatment and developing sewage separation infrastructure
Infrastructure - Structural condition assessment, capacity strengthening, seismic retrofitting, remediation of deterioration in infrastructure, strategic infrastructure upgrading-dams, ports, bridges and railways
Environment - Treating agricultural water pollution, reducing thermal energy production causing air pollution, developing low carbon foot print construction materials and waste water management from industries
Energy - Developing alternative energy solutions, solar cells based on thin films and improvement in photovoltaic technologies, power distribution and supply solutions
Infectious Diseases - Developing diagnostics and evolving broad spectrum treatments, novel malaria treatments and diagnostics, multiple infection diagnosis
For Reprint Rights: timescontent.com

Load-Date: February 22, 2012",1,Document,"India-Canada Centre for Innovative Multi-Disciplinary Partnership, Nem Kumar Banthia, SS Gokhale, Roorkee, Hyderabad, Delhi and Bombay IITs, University of British Colombia, Reliance Industries, Stewols Industry",0,0,India,0,0,0,Nagpur,Triumph Over Adversity,Explicit Policy Solution,Demonstration Center for hosting tech proposed,Modernist,Angel Shift
Surtis to play green Holi this time,The Times of India (TOI),03-06-2012,SURAT,"SURAT: Many people in the diamond city are gearing up to celebrate 'Green Holi' to prevent damage to the environment.
Prayas, a city-based NGO working for birds, animals and environment, will launch a unique campaign on Holi. Prayas volunteers will also go door-to-door to spread awareness about the ill effects of chemical colours.
Prayas' Darshan Desai told TOI, ""During Holi a lot of water resources are wasted. Chemical colours are detrimental to environment and cause air pollution. Besides, at many places colour packets are made by children."" He said Prayas members will gather at an open plot at Mahida Bhavan at Ichhanath and light up a solar lamp for Holi. Women will perform pooja and hold rituals around the Solar lamp. Surat Municipal Corporation and the Institution of Engineers will join Prayas in celebrating green Holi. Municipal commissioner Manoj Das will light the lamp.
Southern Gujarat Chamber of Commerce and Industry (SGwill not be celebrating Holi this year.
""Most of our members and office-bearers will celebrate Holi with flowers,"" said Rohit Mehta, president, SGCCI.
Holi is a major festival for the migrant population. Many parts of the city like Athwalines, City Light, Vesu, Ghod Dod, Bhatar, Udhana, Bamroli, etc, have a sizeable population of people who have migrated from Rajasthan, Uttar Pradesh, Punjab, Bihar and Haryana.
However, in these areas too, many youngsters have decided not to play Holi with colours. Rajeev Arora, a third year student from Bhatar, said, ""We are not going to play Holi with colours this time. We will play Holi with plain water.""
Nidhi Chaudhary, a student in Parle Point, said, ""Chemical colours caused skin allergy to me last time. I was fully cured of it only after one month. This year, I am not going to play with colours.""
Another reason for not many youngsters indulging in the festival this time is the ongoing board exams for class X and XII.
For Reprint Rights: timescontent.com

Load-Date: March 5, 2012",1,Document,"Prayas, Darshan Desai",chemical colors,Children,Environment,"Surat Municipal Corporation, the Institution of Engineers, and the Southern Gujarat Chamber of Commerce and Industry (SGCCI), Manoj Das, Rajeev Arora, Nidhi Chaudary",0,0,Surat,Triumph Over Adversity,Implicit Policy Reference,Flowers used for holi instead of colours,Egalitarian,Mobilization of Support
"City sizzles, cops sweat it out",The Times of India (TOI),4/22/2012,KOLKATA,"KOLKATA: The city huffed, puffed and panted on a scorching Saturday when the mercury touched 39 degrees, marking the hottest day so far with summer certain to be far more punishing as we get into May. Keeping pace with the spiraling temperature, humidity, too, clocked high, making life miserable for those who had ventured out. The hot spell is likely to continue for the next 48 hours, at least, according to the Met office. But don't despair for there's still time for nor'westers to return and provide a cool relief.
Roads wore a deserted look in the afternoon. Pedestrians scurried for sheds even as thousands took refuge in the cool comforts of shopping malls.
Explaining the discomfort that has been building up over the last few days, weather officials said the cyclical ""peaks"" were to be blamed for the blistering spell. ""Summer has arrived, so temperatures will soar now. There are peak periods when the temperature and humidity climb sharply, making it extremely uncomfortable. These are followed by periods of slide when the mercury drops. We are now going through a peak, which is why it has been so uncomfortable. But there's still time for nor'westers to hit. When they do, we can expect a cooler spell,"" said GC Debnath, director, Alipore weather office.
A trough line that extended from Madhya Pradesh to the Orissa coastline triggered successive nor'westers in Kolkata earlier this month. It kept the temperature down for a while. ""You need favourable conditions for a nor'wester to develop. Low pressure over the Chhotanagpur plateau in Bihar has to draw in moisture-laden winds from the Bay of Bengal. When temperature shoots, like it did over the last few days, there is always the possibility of that happening. But there are other factors which could come in the way. So, it's difficult to predict when the next nor'wester is going to strike. But we still have time,"" said V Pradhan, deputy director of metereology.
Weathermen kept an eye on the doppler radar which tracks storm movements. But it had nothing exciting to show. Satellite pictures, too, painted a grim picture with no cloud movement in sight. ""It could change, though, and we can predict a squall at least 12 hours in advance using the doppler radar,"" added Pradhan.
While people scurried indoors amid soaring temperature and humidity levels, those entrusted with managing traffic on the streets of Kolkata had little respite. Standing in the middle of black-topped roads with heavy helmets on their heads for hours on end, kiosks of our traffic cops at important intersections lack even the most basic of amenities like fans and water-bottles in spite of instructions from chief minister Mamata Banerjee.
A peek into the kiosks revealed a messy sight. There are fans in some of the booths but few are in working condition. According to the cops, barely two out of 8-10 booths have fans in working condition. Small pouches of Oral Rehydration Solution (ORS) are provided to the men on duty but they provide little succour in the stifling conditions when even a few minutes at a time under a fan can help.
No wonder, authorities chose this time of the year to hold a recruitment rally for constables at the city's race course. They had probably kept in mind the working conditions that the constables will have to put up with, once recruited.
""The conditions are horrible. We have to be on the street for hours but there is no place where we can grab a few minutes rest. The fans in the kiosks don't work and the insides seem like heat chambers. There isn't any supply of water even. We can't approach the CM by ourselves. When we take up the matter with the OC or DC, they ignore us. After all, they don't have to work in such conditions,"" a constable at the busy Park Street-J L Nehru Road crossing said.
Some of the cops say that their duty-hours on the street stretch from 11.30 am to 5.30 pm. According to them, given the inclement weather and air pollution they have to put up with, the average life expectancy after retirement is rarely more than a few years. ""We never had fans here. We have spent several summers under extremely poor conditions here. Sometimes we seek shelter under the umbrellas provided to us but one can't work that way. Earlier, we used to be given packets of glucose. Now, we get ORS pouches. It doesn't help much,"" said a policeman posted at the important Esplanade crossing.
Meanwhile, the candidates at the race course were also fuming. They had turned up for the rally before 7 am and would remain there till after 7 pm. In the interim period, they would have to prove their capability by running 1,600 metres in six and a half minutes.
""The rally should have been held under better weather conditions. There aren't even basic amenities like water here. All this is taking a toll on our fitness,"" a candidate said.
For Reprint Rights: timescontent.com

Load-Date: April 21, 2012",1,Document,0,0,"Cops, Policemen",0,0,0,0,Kolkata,0,Implicit Policy Reference,0,0,0
Pune to get its own list of natural heritage sites,The Times of India (TOI),5/20/2012,PUNE,"PUNE: The city will soon have its own list of natural heritage sites, with the city-based Indian National Trust for Art and Cultural Heritage working on the project, which is being supported by the Pune Municipal Corporation. The list will include such important sites like the confluence of the Mula-Mutha rivers, the Hamunan tekdi with its indigenous tree species and the quarry lake, which is visited by bird of varied species, old or rare or endangered trees scattered in the city, parks that have old ficus trees, lakes visited by migratory birds, breeding and nesting sites of birds, among other locations.
Once the INTACH, Pune chapter, an NGO dedicated to conserving rich and diverse natural and man-made heritage, completes documenting and listings the sites and is made official by the PMC, these sites, rich in biodiversity or with cultural, aesthetic or ecological values, will be conserved.
Currently, Pune does not have a natural heritage list.
Supriya Goturkar Mahabaleshwarkar, coordinator, INTACH Pune, told TOI that the Pune natural heritage list covers natural heritage sites in the PMC areas and also in the 23 villages merged in the Pune city limits. The list includes rivers, hills, old and rare trees, lakes, habitat of fauna and flora of endemic species that are restricted in this particular area, streams, water channels, natural vegetation, water bodies, hill tops, among others.
""The documentation involves site visits, study of the area, documentation and also interviews with experts and locals. The listing divulges details on conservation significance, threats, cultural aspects, involvement of agency or community involvement for its protection, among others. It will also look at traditional practices of conservation, cultural traditions like myths, folklore and so on,"" she said.
Mahabaleshwarkar said natural heritage consists of terrestrial or aquatic sites or features including riverine, wetland, coastal or marine areas. ""The natural areas in Pune, though highly impacted are still its greatest assets. The hills, lakes, rivers and tanks, and wooded areas are not just beautiful or places for recreation - they act as the lungs of the city, absorbing noise, and tempering the heat of summer. They are also sinks for air and water pollution. These sites deserve conservation action,"" she pointed out.
""The Project is funded by the INTACH and the PMC. At present, we are compiling the list and it will be completed in couple of month's time,"" Mahabaleshwarkar said.
Shyaam Dhavalaey, deputy city engineer, heritage cell, PMC, said the natural heritage site list will be finalised by the heritage committee formed by the PMC. ""The list will then come to the PMC and we will take up conservation measures in these selected sites. At present, PMC does not have a natural heritage site list, though the civic body has a list of heritage structures,'' he said.
Natural Heritage comprise of sites of:
* Ecological and biological significance
* Areas having natural vegetation of cultural significance - sacred groves, water bodies, hill tops
* Areas associated with cultural, religious beliefs and practices
* Natural landscapes of aesthetic and recreational value
For Reprint Rights: timescontent.com

Load-Date: May 19, 2012",1,Document,"Supriya Goturkar Mahabaleshwarkar, INTACH, PMC",0,1,"indigenous tree species, old or rare or endangered trees, migratory birds, fauna and flora of endemic species",0,0,0,Pune,Restoration,Explicit Policy Solution,Conserving natural areas,Activist,Concentrating Costs and Diffusing Benefits
